Categoria,Nome,Istruzione rapida,Spiegazione completa,Parole chiave,Link immagine,Fonte normativa
Segnali di precedenza,Dare precedenza,Rallenta e lascia passare chi ha la precedenza; fermati solo se necessario.,È collocato sulla strada che non gode del diritto di precedenza. Devi dare la precedenza ai veicoli che circolano nei due sensi sulla strada che stai per attraversare o nella quale stai per immetterti. Non impone sempre l'arresto: devi fermarti quando il traffico o la visibilità lo rendono necessario.,precedenza; dare precedenza; cedere il passo; incrocio; immissione; attraversamento; rallentare; triangolo rovesciato,https://upload.wikimedia.org/wikipedia/commons/8/89/Italian_traffic_signs_-_dare_precedenza.svg,https://www.patente.it/normativa/articolo-106-regolamento?idc=610
Segnali di precedenza,Fermarsi e dare precedenza (STOP),"Fermati sempre alla linea di arresto, poi dai la precedenza.","Obbliga a fermarsi in corrispondenza della striscia di arresto, anche quando non sembrano arrivare altri veicoli. Dopo l'arresto devi controllare e dare la precedenza prima di entrare nell'intersezione o di immetterti nel flusso della circolazione. Si usa soprattutto dove la visibilità è insufficiente o la situazione è particolarmente pericolosa.",stop; fermarsi; arresto; linea di arresto; precedenza; incrocio; pericolo; scarsa visibilità; ottagono,https://upload.wikimedia.org/wikipedia/commons/1/1c/Italian_traffic_signs_-_fermarsi_e_dare_precedenza_-_stop.svg,https://www.patente.it/normativa/articolo-107-regolamento?idc=611
Segnali di precedenza,Preavviso di dare precedenza,Preparati a rallentare e a dare precedenza all'intersezione indicata.,"Preannuncia che più avanti troverai il segnale Dare precedenza. Il pannello incorporato indica normalmente la distanza dall'intersezione o dalla linea di arresto. Nel punto del preavviso non devi ancora dare precedenza, ma devi adeguare la velocità e prepararti a farlo nel punto segnalato.",preavviso; dare precedenza; distanza; metri; incrocio; rallentare; prepararsi; pannello integrativo,https://upload.wikimedia.org/wikipedia/commons/f/f6/Italian_traffic_signs_-_preavviso_di_dare_precedenza_%28figura_II_38%29.svg,https://www.patente.it/normativa/articolo-108-regolamento?idc=612
Segnali di precedenza,Preavviso di fermarsi e dare precedenza,Preparati a fermarti obbligatoriamente allo STOP che troverai più avanti.,"Preannuncia un successivo segnale STOP. Il pannello indica la distanza dalla linea di arresto. Devi iniziare a ridurre la velocità e prepararti a un arresto completo nel punto in cui sarà collocato lo STOP, quindi a dare la precedenza prima di impegnare l'intersezione.",preavviso; stop; fermarsi; arresto; distanza; metri; incrocio; rallentare; pannello integrativo,https://upload.wikimedia.org/wikipedia/commons/1/1f/Italian_traffic_signs_-_preavviso_di_fermarsi_e_dare_precedenza_%28figura_II_39%29.svg,https://www.patente.it/normativa/articolo-108-regolamento?idc=612
Segnali di precedenza,Intersezione con precedenza a destra,Rallenta e dai la precedenza ai veicoli che arrivano da destra.,"Presegnala un'intersezione nella quale vale la regola generale della precedenza a destra. Devi controllare soprattutto i veicoli provenienti dalla tua destra e lasciarli passare. I veicoli provenienti da sinistra, a loro volta, devono normalmente dare la precedenza a te. Il segnale non obbliga sempre a fermarsi, ma impone prudenza e velocità adeguata.",precedenza a destra; destra; incrocio; intersezione; regola generale; rallentare; veicoli da destra,https://upload.wikimedia.org/wikipedia/commons/3/31/Italian_traffic_signs_-_intersezione_con_precedenza_a_destra.svg,https://www.patente.it/normativa/articolo-109-regolamento?idc=613
Segnali di precedenza,Dare precedenza nei sensi unici alternati,"Prima della strettoia, lascia passare i veicoli che arrivano in senso opposto.","Si trova all'inizio di una strettoia nella quale può passare una sola corrente di traffico alla volta. Devi dare la precedenza ai veicoli provenienti dal senso opposto e attendere prima di entrare, quando non è possibile passare contemporaneamente. Se un veicolo opposto ha già impegnato la strettoia, devi lasciarlo uscire.",strettoia; senso unico alternato; traffico opposto; veicoli di fronte; dare precedenza; restringimento; frecce,https://upload.wikimedia.org/wikipedia/commons/c/cc/Italian_traffic_signs_-_dare_precedenza_nei_sensi_unici_alternati.svg,https://www.patente.it/normativa/articolo-110-regolamento?idc=614
Segnali di precedenza,Fine del diritto di precedenza,Da questo punto la strada non ha più il diritto di precedenza.,"Indica che termina il tratto di strada sul quale avevi il diritto di precedenza. Alle intersezioni successive devi osservare gli eventuali nuovi segnali oppure, in loro assenza, applicare la regola generale della precedenza a destra. Il segnale non impone da solo di fermarsi.",fine precedenza; fine strada prioritaria; precedenza a destra; incrocio; diritto di precedenza; barra nera,https://upload.wikimedia.org/wikipedia/commons/f/f3/Italian_traffic_signs_-_fine_del_diritto_di_precedenza.svg,https://www.patente.it/normativa/articolo-111-regolamento?idc=615
Segnali di precedenza,Intersezione con diritto di precedenza,All'intersezione hai la precedenza sulle strade secondarie da destra e da sinistra.,"Presegnala un'intersezione con una o più strade subordinate. Tu percorri la strada che gode del diritto di precedenza, mentre sulle strade laterali devono essere presenti segnali di Dare precedenza o STOP. Devi comunque avvicinarti con prudenza, controllare l'intersezione e non considerare la precedenza come un'autorizzazione ad aumentare la velocità.",diritto di precedenza; strada principale; strada secondaria; incrocio; intersezione; destra; sinistra; strada subordinata,https://upload.wikimedia.org/wikipedia/commons/b/bb/Italian_traffic_signs_-_intersezione_con_diritto_di_precedenza.svg,https://www.patente.it/normativa/articolo-112-regolamento?idc=616
Segnali di precedenza,Intersezione a T con immissione da destra con diritto di precedenza,Hai la precedenza sulla strada secondaria che si immette da destra.,"Presegnala un'intersezione a T nella quale una strada subordinata si immette dalla tua destra. Tu procedi sulla strada principale e hai il diritto di precedenza; i veicoli provenienti dalla strada laterale devono dare precedenza o fermarsi, secondo il segnale presente sul loro ramo. Mantieni comunque una velocità prudente.",intersezione a T; immissione da destra; destra; diritto di precedenza; strada principale; strada secondaria; incrocio,https://upload.wikimedia.org/wikipedia/commons/c/cc/Italian_traffic_signs_-_intersezione_a_T_con_diritto_di_precedenza_dx.svg,https://www.patente.it/normativa/articolo-112-regolamento?idc=616
Segnali di precedenza,Intersezione a T con immissione da sinistra con diritto di precedenza,Hai la precedenza sulla strada secondaria che si immette da sinistra.,"Presegnala un'intersezione a T nella quale una strada subordinata si immette dalla tua sinistra. Tu procedi sulla strada principale e hai il diritto di precedenza; i veicoli provenienti dalla strada laterale devono dare precedenza o fermarsi, secondo il segnale presente sul loro ramo. Mantieni comunque una velocità prudente.",intersezione a T; immissione da sinistra; sinistra; diritto di precedenza; strada principale; strada secondaria; incrocio,https://upload.wikimedia.org/wikipedia/commons/9/96/Italian_traffic_signs_-_intersezione_a_T_con_diritto_di_precedenza_sx.svg,https://www.patente.it/normativa/articolo-112-regolamento?idc=616
